Product_ID,Product_Name,Price,Customer_Rating,Competitor_Prices,Competitor_Ratings
1085,William,440.75,1.57,"[366.63, 258.36, 322.85]","[1.43, 2.02, 1.27]"
1091,Trevor,422.08,1.21,"[231.82, 486.67, 351.55]","[4.12, 3.49, 3.29]"
1065,Susan,309.45,1.12,"[108.96, 238.61, 44.94]","[2.85, 2.85, 2.69]"
1027,Michael,441.0,4.07,"[446.16, 336.28, 338.44]","[4.83, 1.92, 4.27]"
1048,Antonio,313.03,1.54,"[400.69, 413.45, 354.08]","[2.0, 3.8, 3.59]"
1068,Miguel,321.33,2.61,"[139.26, 36.69, 363.42]","[2.29, 3.92, 4.34]"
1049,Evelyn,353.45,4.17,"[269.25, 99.75, 77.63]","[3.03, 2.55, 2.42]"
1063,Steven,60.09,1.57,"[251.81, 229.12, 144.25]","[2.03, 1.6, 2.95]"
1099,Brett,313.02,3.03,"[355.95, 352.3, 103.06]","[4.96, 4.69, 4.26]"
1043,Vanessa,419.51,2.31,"[409.12, 433.1, 157.79]","[4.3, 1.68, 4.88]"
1098,Joseph,185.35,4.22,"[475.13, 361.45, 493.89]","[3.19, 3.81, 4.73]"
1034,Jennifer,260.85,1.94,"[294.91, 285.7, 399.2]","[4.8, 3.85, 4.32]"
1010,Kimberly,194.38,4.55,"[307.0, 81.79, 205.08]","[4.78, 3.82, 2.28]"
1092,Louis,89.53,3.54,"[277.97, 40.26, 321.62]","[1.23, 4.54, 1.31]"
1071,Juan,395.87,3.89,"[188.38, 51.38, 496.28]","[4.21, 2.59, 4.03]"
1015,Richard,180.97,4.19,"[472.24, 354.75, 324.17]","[2.93, 1.73, 4.74]"
1014,Becky,403.26,3.01,"[344.61, 484.42, 495.58]","[2.28, 4.02, 4.36]"
1067,Andrew,162.33,1.22,"[331.36, 227.13, 22.23]","[2.75, 1.05, 2.54]"
1037,Marc,299.24,2.83,"[65.11, 200.62, 203.7]","[2.24, 1.74, 1.74]"
1090,Christina,277.17,1.93,"[43.23, 378.75, 185.09]","[3.26, 3.19, 4.44]"
1051,Christine,38.82,3.11,"[382.69, 461.11, 57.92]","[3.12, 4.23, 4.65]"
1094,Diana,309.11,4.4,"[147.34, 422.4, 39.6]","[4.62, 1.7, 2.17]"
1020,Kelly,235.85,1.45,"[83.0, 171.23, 246.49]","[2.33, 2.95, 3.15]"
1020,Lisa,216.52,2.14,"[494.93, 307.22, 381.15]","[4.08, 3.24, 3.12]"
1027,Katherine,15.31,2.37,"[90.25, 375.88, 330.13]","[1.21, 2.3, 3.27]"
1078,Alison,299.53,1.73,"[254.73, 133.33, 312.16]","[3.28, 1.36, 2.94]"
1067,Blake,325.93,4.64,"[17.12, 442.53, 469.27]","[4.16, 1.85, 1.42]"
1070,Justin,280.8,4.7,"[70.43, 82.9, 93.81]","[1.28, 3.28, 1.71]"
1002,Jerry,213.1,4.97,"[314.64, 315.19, 239.27]","[4.64, 1.6, 1.03]"
1097,Heather,492.17,1.11,"[493.73, 227.5, 457.91]","[2.53, 3.9, 3.81]"
1083,Jessica,291.34,1.75,"[220.06, 410.25, 408.53]","[3.93, 2.28, 3.08]"
1020,Lucas,294.0,4.35,"[240.15, 388.54, 37.1]","[2.71, 2.92, 1.07]"
1091,Dawn,302.32,1.49,"[191.37, 449.37, 287.03]","[2.49, 4.85, 1.13]"
1069,Julie,409.81,2.51,"[472.46, 327.53, 283.62]","[2.46, 2.74, 4.3]"
1016,Patrick,112.82,2.51,"[67.53, 140.06, 288.82]","[3.3, 1.47, 4.13]"
1030,Stephanie,49.73,3.85,"[49.64, 350.8, 121.62]","[4.42, 3.32, 4.39]"
1063,Morgan,475.94,4.92,"[267.77, 54.41, 376.65]","[4.06, 3.82, 1.56]"
1017,Roy,232.43,1.55,"[481.61, 353.05, 222.03]","[2.59, 2.23, 2.17]"
1062,Riley,174.5,2.14,"[408.32, 207.23, 30.0]","[4.39, 4.12, 4.38]"
1013,Hannah,466.56,2.33,"[352.38, 36.8, 181.45]","[4.12, 2.32, 4.65]"
1002,Ruben,93.71,2.13,"[431.71, 129.57, 491.38]","[2.06, 2.59, 4.8]"
1013,Jeremy,57.11,2.29,"[496.62, 152.7, 231.32]","[3.67, 4.82, 3.13]"
1029,Shelia,112.19,2.35,"[254.05, 318.3, 427.49]","[4.05, 3.97, 2.95]"
1034,David,47.22,1.29,"[172.6, 13.96, 284.65]","[2.65, 2.45, 2.59]"
1067,Jillian,113.35,4.39,"[336.69, 464.39, 158.04]","[2.2, 2.95, 2.24]"
1003,Katelyn,118.46,1.56,"[68.53, 264.97, 26.14]","[3.93, 2.31, 3.7]"
1032,Tracy,275.88,4.25,"[429.03, 312.9, 114.28]","[4.96, 1.18, 4.93]"
1038,Anthony,499.97,3.31,"[96.09, 354.61, 387.47]","[1.74, 2.96, 3.74]"
1064,Connie,176.85,1.98,"[121.53, 60.69, 345.33]","[1.83, 4.35, 3.8]"
1040,Lynn,43.92,2.92,"[311.66, 126.24, 422.27]","[2.75, 3.21, 2.37]"
1022,Deborah,259.4,2.2,"[10.69, 405.74, 341.3]","[3.5, 2.3, 2.96]"
1015,John,496.3,3.75,"[319.34, 167.56, 193.65]","[1.49, 1.52, 2.1]"
1007,Mary,215.81,2.61,"[345.27, 381.46, 246.4]","[3.73, 2.52, 4.34]"
1041,Wendy,313.29,2.3,"[428.35, 26.87, 160.52]","[1.42, 4.78, 1.19]"
1041,Laura,69.59,2.15,"[266.65, 452.92, 70.24]","[2.21, 3.56, 4.27]"
1080,Jesse,230.13,2.39,"[102.93, 494.16, 298.69]","[3.6, 4.97, 4.26]"
1028,Cindy,57.19,4.87,"[86.48, 23.13, 212.02]","[3.52, 2.81, 2.32]"
1089,Ashley,258.16,2.19,"[88.29, 239.69, 340.49]","[4.58, 1.46, 1.31]"
1024,Michelle,127.39,1.9,"[219.24, 433.43, 401.73]","[2.42, 2.76, 4.89]"
1035,Jacqueline,383.99,3.22,"[24.8, 283.49, 352.6]","[4.55, 2.77, 4.88]"
1034,Corey,20.94,2.74,"[185.24, 260.01, 473.72]","[3.21, 1.25, 4.92]"
1013,Randall,472.81,3.55,"[435.86, 270.71, 436.0]","[4.45, 4.6, 3.15]"
1086,Gregory,207.63,1.69,"[247.37, 290.11, 130.99]","[2.4, 3.41, 3.62]"
1045,Chelsea,95.11,3.53,"[367.45, 302.85, 358.0]","[3.65, 3.41, 3.31]"
1058,Danielle,399.99,3.76,"[149.51, 156.2, 498.49]","[4.9, 2.12, 1.62]"
1022,Amanda,444.08,2.48,"[488.93, 101.44, 392.7]","[1.39, 4.41, 1.61]"
1070,Daniel,491.07,2.15,"[263.13, 177.28, 276.33]","[1.37, 3.47, 1.46]"
1069,Rachel,75.11,2.05,"[109.37, 376.03, 275.27]","[1.35, 3.87, 1.63]"
1052,Eric,373.24,4.82,"[474.6, 250.39, 318.09]","[3.48, 3.2, 2.86]"
1051,Jill,340.65,2.16,"[291.94, 131.57, 271.37]","[1.28, 2.14, 1.69]"
1015,Robert,290.89,2.87,"[207.42, 261.91, 248.96]","[2.94, 4.56, 2.68]"
1066,Aaron,86.54,4.56,"[283.93, 149.74, 16.17]","[4.89, 3.73, 1.41]"
1021,Kyle,334.53,3.01,"[200.25, 124.14, 37.48]","[1.91, 3.82, 1.01]"
1027,Megan,141.2,1.18,"[199.2, 375.82, 168.08]","[3.9, 2.2, 1.03]"
1084,Alicia,306.59,3.02,"[181.37, 410.01, 293.45]","[4.2, 4.15, 3.14]"
1003,Rebecca,150.86,2.67,"[379.97, 160.66, 228.88]","[3.79, 2.92, 4.65]"
